TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,MAIN_ADDRESS,LATITUDE,LONGITUDE
Condo for sale,315000,2,2,1400,"2 E 55th St Unit 803New York, NY 10022",40.761255,-73.9744834
Condo for sale,195000000,7,10,17545,"Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",40.7663935,-73.9809909
House for sale,260000,4,2,2015,"620 Sinclair AveStaten Island, NY 10312",40.5418051,-74.1961086
Condo for sale,69000,3,1,445,"2 E 55th St Unit 908W33Manhattan, NY 10022",40.7613979,-73.9746128
Townhouse for sale,55000000,7,2.373860858,14175,"5 E 64th StNew York, NY 10065",40.7672235,-73.9698561
House for sale,690000,5,2,4004,"584 Park PlBrooklyn, NY 11238",40.6743632,-73.9587248
Condo for sale,899500,2,2,2184.207862,"157 W 126th St Unit 1BNew York, NY 10027",40.809448,-73.946777
House for sale,16800000,8,16,33000,"177 Benedict RdStaten Island, NY 10304",40.5950017,-74.1064235
Co-op for sale,265000,1,1,750,"875 Morrison Ave Apt 3MBronx, NY 10473",40.8215857,-73.8740892
Co-op for sale,440000,2,1,978,"1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",40.6157378,-73.9696944
Co-op for sale,375000,2,1,850,"800 Grand Concourse Apt 2JSBronx, NY 10451",40.8248699,-73.9229829
Townhouse for sale,689000,3,2.373860858,1162,"456 Van Name AveStaten Island, NY 10303",40.6249962,-74.1553058
Co-op for sale,259000,3,1,2184.207862,"34-41 85th St Unit 1DJackson Heights, NY 11372",40.7531191,-73.8818757
Co-op for sale,430000,2,2,2184.207862,"91-15 Lamont Ave Unit 6DElmhurst, NY 11373",40.7438639,-73.8745722
Co-op for sale,895000,3,1,2184.207862,"61 Jane St Apt 6NNew York, NY 10014",40.7382981,-74.0058899
Condo for sale,549000,2,2,1000,"4654 Amboy Rd Unit 2BStaten Island, NY 10312",40.5406209,-74.1671632
Townhouse for sale,975000,3,2,1734,"28-31 Hobart StWoodside, NY 11377",40.7607676,-73.9056672
Co-op for sale,199000,3,1,325,"9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",40.6181029,-74.0369047
Co-op for sale,350000,1,1,700,"5800 Arlington Ave Apt 21ABronx, NY 10471",40.9073699,-73.9065578
Condo for sale,599000,2,2,974,"92-29 Queens Blvd Unit 3HRego Park, NY 11374",40.7324713,-73.8670804
House for sale,639999,3,2,1260,"27 Clove WayStaten Island, NY 10301",40.6207403,-74.1114362
Condo for sale,1300000,2,2,1244,"10724 71st Rd Apt 9FForest Hills, NY 11375",40.7202429,-73.8430513
Multi-family home for sale,1100000,6,3,2837,"1038 Throggs Neck Expy Unit SrBronx, NY 10465",40.8343936,-73.8221101
Condo for sale,349900,1,1,651,"165 Cromwell Ave Apt 2BStaten Island, NY 10304",40.5902064,-74.0958034
House for sale,750000,2,2,1330,"280 Loretto StStaten Island, NY 10307",40.5039785,-74.2396555
Multi-family home for sale,1690000,6,4,2200,"149-07 85 RdBriarwood, NY 11435",40.710749,-73.809486
Co-op for sale,325000,1,1,2184.207862,"35-45 81st St Unit E1Queens, NY 11372",40.7505078,-73.8851355
Multi-family home for sale,2250000,12,2.373860858,5670,"2361 81st StBrooklyn, NY 11214",40.602654,-73.9869399
Co-op for sale,230000,1,1,2184.207862,"33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",40.7557689,-73.8734231
Multi-family home for sale,1299888,10,6,3156,"310-312 Hillside AveStaten Island, NY 10304",40.6155667,-74.0869554
Multi-family home for sale,925000,5,2,2750,"543 Hollywood AveBronx, NY 10465",40.8242389,-73.8173809
Condo for sale,329000,1,2,794,"47 Lynn CtStaten Island, NY 10314",40.6210398,-74.1504313
Multi-family home for sale,1300000,10,8,5040,"366 Union Ave Unit 4Staten Island, NY 10303",40.6274381,-74.1581613
Multi-family home for sale,848000,5,4,2080,"544 Hinsdale StBrooklyn, NY 11207",40.6615475,-73.898309
Co-op for sale,279000,1,1,750,"1801 Ocean Ave Apt 4ABrooklyn, NY 11230",40.6179165,-73.9546305
